Direction,Name,Off/Peak,Preference,Toll1,Toll2,Toll3,Toll4,TollTotal,GoogleMapsLink
ToHome,Grant-GSP-116,,63, $2.25 , $2.25 , $-   ,, $4.50 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3786567,-74.1735818,15.21z/data=!4m29!4m28!1m20!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1511183!2d40.8114388!3s0x89c2558c50760917:0xc5c9458732501f3c!3m4!1m2!1d-74.1685657!2d40.8177637!3s0x89c255810936f049:0xd0a1dc1bdebc2867!3m4!1m2!1d-74.1830864!2d40.385976!3s0x89c232e2ad1ecdb1:0x897e27b886a9ae2b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Grant-GSP-109,,61, $2.25 , $2.25 , $0.79 ,, $5.29 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3458496,-74.1240631,14.71z/data=!4m29!4m28!1m20!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1511183!2d40.8114388!3s0x89c2558c50760917:0xc5c9458732501f3c!3m4!1m2!1d-74.1685657!2d40.8177637!3s0x89c255810936f049:0xd0a1dc1bdebc2867!3m4!1m2!1d-74.1027633!2d40.3380034!3s0x89c231e0f7f386bf:0x8b5f940c354c32b3!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Grant-GSP-114,,59, $2.25 , $2.25 , $0.79 ,, $5.29 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.5890108,-74.1027566,10.96z/data=!4m29!4m28!1m20!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1511183!2d40.8114388!3s0x89c2558c50760917:0xc5c9458732501f3c!3m4!1m2!1d-74.1685657!2d40.8177637!3s0x89c255810936f049:0xd0a1dc1bdebc2867!3m4!1m2!1d-74.1521023!2d40.3772649!3s0x89c2324969085275:0x869c5ecd40ad7d33!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-GSP-116,,57, $1.57 , $2.25 , $-   ,, $3.82 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.5224751,-74.0530399,11.42z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1755838!2d40.7486793!3s0x89c25486bd022903:0xff13555c28aa97c6!3m4!1m2!1d-74.1830864!2d40.385976!3s0x89c232e2ad1ecdb1:0x897e27b886a9ae2b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-GSP-109,,55, $1.57 , $2.25 , $0.79 ,, $4.61 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3481158,-74.0897724,14.17z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1755838!2d40.7486793!3s0x89c25486bd022903:0xff13555c28aa97c6!3m4!1m2!1d-74.1026714!2d40.338397!3s0x89c231e0e5f97b6f:0x9a7f7815968e4bb9!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-GSP-114,,53, $1.57 , $2.25 , $0.79 ,, $4.61 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3747021,-74.1500018,15.67z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1755838!2d40.7486793!3s0x89c25486bd022903:0xff13555c28aa97c6!3m4!1m2!1d-74.151789!2d40.3766645!3s0x89c2324969085275:0x869c5ecd40ad7d33!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-TP-116,Peak,51, $6.86 , $2.25 , $-   ,, $9.11 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3783512,-74.1686908,15.21z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1657145!2d40.7479579!3s0x89c2547c7106c3af:0xaab715ae3f26557e!3m4!1m2!1d-74.1832304!2d40.3857693!3s0x89c232e2b7f286b7:0xb03f64efb50b0b5b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-TP-109,Peak,49, $6.86 , $2.25 , $0.79 ,, $9.90 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3442616,-74.1053025,15.21z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1657145!2d40.7479579!3s0x89c2547c7106c3af:0xaab715ae3f26557e!3m4!1m2!1d-74.102629!2d40.3386899!3s0x89c231e0e5f97b6f:0x9a7f7815968e4bb9!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-TP-114,Peak,47, $6.86 , $2.25 , $0.79 ,, $9.90 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.4493244,-74.1514754,11.67z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1657145!2d40.7479579!3s0x89c2547c7106c3af:0xaab715ae3f26557e!3m4!1m2!1d-74.151789!2d40.3766645!3s0x89c2324969085275:0x869c5ecd40ad7d33!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-TP-116,Off-Peak,45, $5.15 , $2.25 , $-   ,, $7.40 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3783512,-74.1686908,15.21z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1657145!2d40.7479579!3s0x89c2547c7106c3af:0xaab715ae3f26557e!3m4!1m2!1d-74.1832304!2d40.3857693!3s0x89c232e2b7f286b7:0xb03f64efb50b0b5b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-TP-109,Off-Peak,43, $5.15 , $2.25 , $0.79 ,, $8.19 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3442616,-74.1053025,15.21z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1657145!2d40.7479579!3s0x89c2547c7106c3af:0xaab715ae3f26557e!3m4!1m2!1d-74.102629!2d40.3386899!3s0x89c231e0e5f97b6f:0x9a7f7815968e4bb9!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt21-TP-114,Off-Peak,41, $5.15 , $2.25 , $0.79 ,, $8.19 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.4493244,-74.1514754,11.67z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1657145!2d40.7479579!3s0x89c2547c7106c3af:0xaab715ae3f26557e!3m4!1m2!1d-74.151789!2d40.3766645!3s0x89c2324969085275:0x869c5ecd40ad7d33!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,TP-116,Peak,39, $8.13 , $2.25 , $-   ,, $10.38 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.7993665,-74.0766591,12.75z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.093227!2d40.8106267!3s0x89c2f89df3aebc3f:0xc2574b8f3ba0eff4!3m4!1m2!1d-74.1832304!2d40.3857693!3s0x89c232e2b7f286b7:0xb03f64efb50b0b5b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,TP-109,Peak,37, $8.13 , $2.25 , $0.79 ,, $11.17 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3504913,-74.1010282,14.79z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.093227!2d40.8106267!3s0x89c2f89df3aebc3f:0xc2574b8f3ba0eff4!3m4!1m2!1d-74.1026714!2d40.338397!3s0x89c231e0e5f97b6f:0x9a7f7815968e4bb9!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,TP-114,Peak,35, $8.13 , $2.25 , $0.79 ,, $11.17 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3578027,-74.1292455,14.29z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.093227!2d40.8106267!3s0x89c2f89df3aebc3f:0xc2574b8f3ba0eff4!3m4!1m2!1d-74.1511261!2d40.3756069!3s0x89c2324969085275:0x5653a35e3a3e490!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,TP-116,Off-Peak,33, $6.10 , $2.25 , $-   ,, $8.35 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.7993665,-74.0766591,12.75z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.093227!2d40.8106267!3s0x89c2f89df3aebc3f:0xc2574b8f3ba0eff4!3m4!1m2!1d-74.1832304!2d40.3857693!3s0x89c232e2b7f286b7:0xb03f64efb50b0b5b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,TP-109,Off-Peak,31, $6.10 , $2.25 , $0.79 ,, $9.14 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3504913,-74.1010282,14.79z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.093227!2d40.8106267!3s0x89c2f89df3aebc3f:0xc2574b8f3ba0eff4!3m4!1m2!1d-74.1026714!2d40.338397!3s0x89c231e0e5f97b6f:0x9a7f7815968e4bb9!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,TP-114,Off-Peak,29, $6.10 , $2.25 , $0.79 ,, $9.14 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3578027,-74.1292455,14.29z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.093227!2d40.8106267!3s0x89c2f89df3aebc3f:0xc2574b8f3ba0eff4!3m4!1m2!1d-74.1511261!2d40.3756069!3s0x89c2324969085275:0x5653a35e3a3e490!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
